source_file,date,duration,map,mode,result,game_id,team_id,team_total_kills,team_total_deaths,team_total_assists,team_total_gold,team_kda,summoner_name,level,champion,champion_korean,kills,deaths,assists,cs,gold,kda_ratio
화면 캡처 2026-04-03 095520.jpg,2026/04/03,19:41,도살자의 다리,사용자 설정,LOSE,,2,31,24,42,42350,31/24/42,인왕산와일드보어,18,Sejuani,세주아니,12,8,12,39,13847,3.00
화면 캡처 2026-04-03 095530.jpg,2026/04/03,25:39,도살자의 다리,사용자 설정,WIN,,1,37,29,63,54503,37/29/63,행복한욕조견,18,Ziggs,직스,7,8,28,123,17513,4.38
화면 캡처 2026-04-03 095530.jpg,2026/04/03,25:39,도살자의 다리,사용자 설정,WIN,,1,37,29,63,54503,37/29/63,TwelveOClock,18,Xayah,자야,17,10,15,183,20151,3.20
화면 캡처 2026-04-03 095530.jpg,2026/04/03,25:39,도살자의 다리,사용자 설정,WIN,,1,37,29,63,54503,37/29/63,기장앞바다벨코즈,18,Chogath,초가스,13,11,20,23,16839,3.00
화면 캡처 2026-04-03 095530.jpg,2026/04/03,25:39,도살자의 다리,사용자 설정,WIN,,2,29,38,38,51434,29/38/38,Gomjkhan,18,Irelia,이렐리아,14,14,11,206,20004,1.79
화면 캡처 2026-04-03 095530.jpg,2026/04/03,25:39,도살자의 다리,사용자 설정,WIN,,2,29,38,38,51434,29/38/38,인왕산와일드보어,18,Leona,레오나,0,11,21,17,14123,1.91
화면 캡처 2026-04-03 095530.jpg,2026/04/03,25:39,도살자의 다리,사용자 설정,WIN,,2,29,38,38,51434,29/38/38,RabiEddin,18,Elise,엘리스,15,13,6,57,17307,1.62
화면 캡처 2026-04-03 113146.jpg,2026/04/03,15:08,칼바람 나락,사용자 설정,LOSE,,1,16,24,29,30400,16/24/29,행복한욕조견,16,Morgana,모르가나,6,8,8,43,10033,1.75
화면 캡처 2026-04-03 113146.jpg,2026/04/03,15:08,칼바람 나락,사용자 설정,LOSE,,1,16,24,29,30400,16/24/29,Gomjkhan,15,Swain,스웨인,4,8,11,55,9733,1.88
화면 캡처 2026-04-03 113146.jpg,2026/04/03,15:08,칼바람 나락,사용자 설정,LOSE,,1,16,24,29,30400,16/24/29,기장앞바다벨코즈,15,Senna,세나,6,8,10,42,10634,2.00
화면 캡처 2026-04-03 113146.jpg,2026/04/03,15:08,칼바람 나락,사용자 설정,LOSE,,2,24,16,33,33646,24/16/33,감귤 아저씨,17,Khazix,카직스,11,6,11,40,11745,3.67
화면 캡처 2026-04-03 113146.jpg,2026/04/03,15:08,칼바람 나락,사용자 설정,LOSE,,2,24,16,33,33646,24/16/33,TwelveOClock,17,Vex,벡스,9,6,9,51,11123,3.00
화면 캡처 2026-04-03 113146.jpg,2026/04/03,15:08,칼바람 나락,사용자 설정,LOSE,,2,24,16,33,33646,24/16/33,RabiEddin,17,Galio,갈리오,4,4,13,68,10778,4.25
화면 캡처 2026-04-03 113158.jpg,2026/04/03,22:22,칼바람 나락,사용자 설정,LOSE,,1,31,31,40,45492,31/31/40,행복한욕조견,18,Xerath,제라스,12,9,14,46,15072,2.89
화면 캡처 2026-04-03 113158.jpg,2026/04/03,22:22,칼바람 나락,사용자 설정,LOSE,,1,31,31,40,45492,31/31/40,Gomjkhan,18,Akali,아칼리,11,11,12,69,15030,2.09
화면 캡처 2026-04-03 113158.jpg,2026/04/03,22:22,칼바람 나락,사용자 설정,LOSE,,1,31,31,40,45492,31/31/40,기장앞바다벨코즈,18,Nasus,나서스,8,11,14,105,15390,2.00
화면 캡처 2026-04-03 113158.jpg,2026/04/03,22:22,칼바람 나락,사용자 설정,LOSE,,2,31,31,43,47481,31/31/43,감귤 아저씨,18,Shyvana,쉬바나,9,11,19,73,15828,2.55
화면 캡처 2026-04-03 113158.jpg,2026/04/03,22:22,칼바람 나락,사용자 설정,LOSE,,2,31,31,43,47481,31/31/43,TwelveOClock,18,Kalista,칼리스타,11,10,12,125,16568,2.30
화면 캡처 2026-04-03 113158.jpg,2026/04/03,22:22,칼바람 나락,사용자 설정,LOSE,,2,31,31,43,47481,31/31/43,RabiEddin,18,Pantheon,판테온,11,10,12,32,15085,2.30
